Date,GOOGL,IBM,AMZN,FB,AAPL
2017-01-26,856.98,171.98106310543,839.15,132.78,120.43386284216
2017-01-25,858.45,171.62489500206,836.52,131.48,120.37460392982
2017-01-24,849.53,169.32424157755,822.44,129.37,118.48819522039
2017-01-23,844.43,164.63629924394,817.88,128.93,118.59683655968
2017-01-20,828.17,164.17424332605,808.33,127.04,118.51782467656
2017-01-19,824.37,160.57405763247,809.04,127.55,118.30054199798
2017-01-18,829.02,160.56443146752,807.48,127.92,118.50794819117
2017-01-17,827.46,161.61368344773,809.72,127.87,118.51782467656
2017-01-13,830.94,161.08424437515,817.14,128.34,117.56968207915
2017-01-12,829.53,161.67144043747,813.64,126.62,117.77708827233
2017-01-11,829.86,161.47891713834,799.02,126.09,118.27091254181
2017-01-10,826.01,159.33228235314,795.9,124.35,117.63881747687
2017-01-09,827.18,161.38265548878,796.92,124.9,117.5202996522
2017-01-06,825.21,163.19237450053,795.99,123.41,116.45363923011
2017-01-05,813.02,162.39340280917,780.45,120.67,115.16969612944
2017-01-04,807.77,162.93246804671,757.18,118.69,114.58698349145
2017-01-03,808.01,160.9398519008,753.67,116.86,114.71537780152
2016-12-30,792.45,159.78471210607,749.87,115.05,114.38945378366
2016-12-29,802.88,160.37190816839,765.15,116.35,115.28821395412
2016-12-28,804.57,159.9772354052,772.13,116.92,115.31784341029
2016-12-27,809.93,160.89172107602,771.4,118.01,115.81166767978
2016-12-23,807.8,160.47779598291,760.59,117.27,115.08080776094
2016-12-22,809.68,160.81471175637,766.34,117.4,114.85364859697
2016-12-21,812.2,161.07461821019,770.6,119.04,115.61413797198
2016-12-20,815.2,161.334524664,771.22,119.09,115.50549663269
2016-12-19,812.5,160.44891748804,766.0,119.24,115.19932558561
2016-12-16,809.84,160.49704831282,757.77,119.87,114.5376010645
2016-12-15,815.65,161.73882359216,761.0,120.57,114.38945378366
2016-12-14,817.89,162.21050567501,768.82,120.21,113.76723520411
2016-12-13,815.34,161.99873004597,774.34,120.31,113.76723520411
2016-12-12,807.9,159.31303002323,760.12,117.77,111.90057946545
2016-12-09,809.45,160.29489884875,768.66,119.68,112.54255101578
2016-12-08,795.17,159.17826371384,767.33,118.91,110.73515418946
2016-12-07,791.47,158.62957231134,770.42,117.95,109.65861728198
2016-12-06,776.18,154.35555507084,764.72,117.31,108.5919568599
2016-12-05,778.22,153.86462065808,759.36,117.43,107.76233208716
2016-12-02,764.46,154.03789162729,740.34,115.4,108.54257443295
2016-12-01,764.33,153.84536832817,743.65,115.1,108.13763853197
2016-11-30,775.88,156.15564791763,750.57,118.42,109.15491652711
2016-11-29,789.44,157.41667552688,762.52,120.87,110.08330615374
2016-11-28,785.79,158.36966585753,766.77,120.41,110.19194749303
2016-11-25,780.23,157.04125509359,780.37,120.38,110.4092301716
2016-11-23,779.0,155.92461995868,780.12,120.84,109.85614698978
2016-11-22,785.0,156.58882534065,785.33,121.47,110.41910665699
2016-11-21,784.8,156.68508699021,780.0,121.77,110.34997125926
2016-11-18,775.97,154.39405973067,760.16,117.02,108.70059819918
2016-11-17,786.16,153.82611599826,756.4,117.79,108.5919568599
2016-11-16,779.98,153.3351815855,746.49,116.34,108.63146280145
2016-11-15,775.16,152.73835935822,743.24,117.2,105.78703500922
2016-11-14,753.22,152.29555577024,719.07,115.08,104.40432705466
2016-11-11,771.75,155.2411622468,739.01,119.02,107.09073108066
2016-11-10,780.29,154.23041492641,742.38,120.8,106.45863601572
2016-11-09,805.59,149.02265968517,771.88,123.18,109.51047000114
2016-11-08,811.98,149.36920162359,787.75,124.22,109.68824673815
2016-11-07,802.03,148.55829390576,784.93,122.15,109.04627518782
2016-11-04,781.1,145.41960403323,755.05,120.75,107.49566698164
2016-11-03,782.19,145.36236348845,767.03,120.0,108.47343903522
2016-11-02,788.42,144.96167967493,765.56,127.17,109.6426726625
2016-11-01,805.48,145.76304730196,785.41,129.5,109.54441773584
2016-10-31,809.9,146.62165547378,789.82,130.99,111.55864373242
2016-10-28,819.56,145.5913256676,776.32,131.29,111.73550260041
2016-10-27,817.35,146.29729238665,818.36,129.69,112.48224004304
2016-10-26,822.1,144.82811840376,822.59,131.04,113.57286972899
2016-10-25,828.55,143.94088995955,835.18,132.29,116.18645077821
2016-10-24,835.74,143.64514714482,838.09,133.28,115.59692121824
2016-10-21,824.06,142.74837860981,818.99,132.07,114.56524448828
2016-10-20,821.63,144.55145577062,810.32,130.0,115.01721715093
2016-10-19,827.09,144.30341340987,817.69,130.11,115.07617010693
2016-10-18,821.49,143.78824850678,817.65,128.57,115.42006235025
2016-10-17,806.84,147.65198527996,812.95,127.54,115.49866629158
2016-10-14,804.6,147.34670237442,822.96,127.88,115.57727023291
2016-10-13,804.08,146.65027574617,829.28,127.82,114.9386132096
2016-10-12,811.77,147.19406092165,834.09,129.05,115.29233094559
2016-10-11,809.57,147.67106546155,831.0,128.88,114.2704797083
2016-10-10,814.17,149.7985057095,841.71,130.24,114.02484239164
2016-10-07,800.71,148.51059345177,839.43,128.99,112.06956935106
2016-10-06,803.08,149.66494443832,841.66,128.74,111.90253597573
2016-10-05,801.23,149.85574625428,844.36,128.47,111.07719459177
2016-10-04,802.79,149.26426062481,834.03,128.19,111.02806712844
2016-10-03,800.38,150.36137106658,836.74,128.77,110.55644348046
2016-09-30,804.06,151.54434232552,837.31,128.27,111.07719459177
2016-09-29,802.64,150.83837560647,829.05,128.09,110.22237672981
2016-09-28,810.06,151.01009724084,828.72,129.23,111.96148893173
2016-09-27,810.73,149.56000343955,816.11,128.69,111.11649656244
2016-09-26,802.65,146.89831810692,799.16,127.31,110.91016121645
2016-09-23,814.96,147.85232718671,805.75,127.96,110.74312784112
2016-09-22,815.95,148.93035744688,804.7,130.08,112.61979694037
2016-09-21,805.03,148.3770321806,789.74,129.94,111.56846922508
2016-09-20,799.78,147.34670237442,780.22,128.64,111.58812021042
2016-09-19,795.39,147.74738618794,775.1,128.65,111.59794570308
2016-09-16,797.97,146.76475683575,778.52,129.07,112.91456172036
2016-09-15,801.23,148.50105336097,769.69,128.35,113.55321874366
2016-09-14,790.46,146.9650987425,761.09,127.77,109.81953153049
2016-09-13,788.72,148.64415472294,761.01,127.21,106.06619333199
2016-09-12,798.82,151.01009724084,771.49,128.69,103.59999467277
2016-09-09,788.48,148.52967363337,760.14,127.1,101.33030586687
2016-09-08,802.84,151.68744368749,784.06,130.27,103.6785986141
2016-09-07,807.99,154.20602765815,784.48,131.05,106.46903853131
2016-09-06,808.02,152.97535594522,788.87,129.73,105.82055601534
2016-09-02,796.87,152.21214868138,772.44,126.51,105.85003249333
2016-09-01,791.4,152.20260859058,770.62,126.17,104.86748322671
2016-08-31,789.85,151.57296259792,769.16,126.12,104.24847718874
2016-08-30,791.92,152.06904731941,767.58,125.84,104.15022226208
2016-08-29,795.82,152.37433022494,771.29,126.54,104.95591266071
2016-08-26,793.22,151.03871751323,769.0,124.96,105.0738185727
2016-08-25,791.3,151.33446032797,759.22,123.89,105.69282461068
2016-08-24,793.6,151.73514414148,757.25,123.48,106.14479727332
2016-08-23,796.59,152.88949512803,762.45,124.37,106.95048767195
2016-08-22,796.95,152.64145276729,759.48,124.15,106.6164209213
2016-08-19,799.65,152.67961313048,757.31,123.56,107.45158779793
2016-08-18,802.75,153.93890511581,764.46,123.91,107.17647400328
2016-08-17,805.42,153.0612167624,764.63,124.37,107.3140309006
2016-08-16,801.19,153.30925912314,764.04,123.3,107.47123878326
2016-08-15,805.96,154.4349898373,768.49,123.9,107.56949370993
2016-08-12,807.05,154.50177047289,772.56,124.88,106.29217966332
2016-08-11,808.2,156.00910481897,771.24,124.9,106.04654234666
2016-08-10,808.49,154.62579165326,768.56,124.88,106.11532079532
2016-08-09,807.48,154.33004883853,768.31,125.06,106.91118570129
2016-08-08,805.23,154.58763129007,766.56,125.26,106.47886402397
2016-08-05,806.93,154.64438152182,765.98,125.15,105.60439517668
2016-08-04,797.25,152.79999898991,760.77,124.36,104.02249085742
2016-08-03,798.92,151.96766225756,754.64,122.51,103.38725392527
2016-08-02,800.12,151.88253690993,760.58,123.09,102.10700718511
2016-08-01,800.94,152.70541527032,767.74,124.31,103.64134869813
2016-07-29,791.34,151.92037039777,758.81,123.94,101.84313953637
2016-07-28,765.84,152.62974829466,752.61,125.0,101.9701869228
2016-07-27,761.97,153.06483340475,736.67,123.34,100.6117571756
2016-07-26,757.65,153.33912619155,735.59,121.22,94.47439112351
2016-07-25,757.52,153.84041990535,739.61,121.63,95.129173807411
2016-07-22,759.28,153.29183433175,744.86,121.0,96.419193423456
2016-07-21,754.41,151.75957807447,744.43,120.61,97.171704866148
2016-07-20,757.08,152.6202899227,745.72,121.92,97.689667287742
2016-07-19,753.41,150.93669971408,739.95,120.61,97.60171140483
2016-07-18,753.2,151.20153412892,736.07,119.37,97.562619901313
2016-07-15,735.63,151.12586715325,735.44,116.86,96.536467934005
2016-07-14,735.8,151.59878575118,741.2,117.29,96.546240809884
2016-07-13,729.48,149.46119368855,742.63,116.78,94.669848641092
2016-07-12,732.51,148.53427323662,748.21,117.93,95.207356814444
2016-07-11,727.2,146.91689163171,753.78,117.87,94.777350275762
2016-07-08,717.78,146.09401327132,745.81,117.24,94.484163999389
2016-07-07,707.26,144.33475608703,736.57,115.85,93.760971184333
2016-07-06,708.97,144.11721353199,737.61,116.7,93.360283273289
2016-07-05,704.89,143.46458586685,728.1,114.0,92.832547975816
2016-07-01,710.25,144.09829678807,725.68,114.19,93.712106804938
